,系统I温度 (Temperature of system I),系统II温度 (Temperature of system II),原矿参数1 (Mineral parameter 1),原矿参数2 (Mineral parameter 2),原矿参数3 (Mineral parameter 3),原矿参数4 (Mineral parameter 4),原矿质量
0,1347.49,950.4,55.26,108.03,43.29,20.92,407.39
1,1274.43,938.2,55.26,108.03,43.29,20.92,407.39
2,1273.86,938.16,55.26,108.03,43.29,20.92,407.39
3,1273.51,937.49,55.26,108.03,43.29,20.92,406.89
4,1272.84,936.67,55.26,108.03,43.29,20.92,406.89
5,1404.5,959.9,55.26,108.03,43.29,20.92,406.89
6,1406.01,960.29,55.26,108.03,43.29,20.92,383.28999999999996
7,1404.72,960.09,55.26,108.03,43.29,20.92,383.28999999999996
8,1404.77,959.65,55.26,108.03,43.29,20.92,383.28999999999996
9,1405.16,960.24,55.26,108.03,43.29,20.92,375.24
10,1405.6,960.43,55.26,108.03,43.29,20.92,375.24
11,1405.34,960.11,55.26,108.03,43.29,20.92,375.24
12,1405.87,961.04,55.26,108.03,43.29,20.92,382.86
13,1405.12,960.23,55.26,108.03,43.29,20.92,382.86
14,1404.99,960.09,55.26,108.03,43.29,20.92,382.86
15,1404.54,959.95,55.26,108.03,43.29,20.92,391.54999999999995
16,1402.95,959.22,55.26,108.03,43.29,20.92,391.54999999999995
17,1405.25,960.21,55.26,108.03,43.29,20.92,391.54999999999995
18,1404.41,960.26,55.26,108.03,43.29,20.92,395.47
19,1405.69,960.63,55.26,108.03,43.29,20.92,395.47
20,1406.27,960.69,55.26,108.03,43.29,20.92,395.47
21,1406.17,960.9,55.26,108.03,43.29,20.92,399.19
22,1405.03,960.22,55.26,108.03,43.29,20.92,399.19
23,1404.99,960.25,55.26,108.03,43.29,20.92,399.19
24,1404.85,960.18,55.28,102.38,46.13,20.1,387.02
25,1404.28,959.53,55.28,102.38,46.13,20.1,387.02
26,1405.21,960.68,55.28,102.38,46.13,20.1,387.02
27,1404.19,959.9,55.28,102.38,46.13,20.1,402.82
28,1404.5,959.97,55.28,102.38,46.13,20.1,402.82
29,1405.3,960.27,55.28,102.38,46.13,20.1,402.82
30,1404.85,960.31,55.28,102.38,46.13,20.1,393.28999999999996
31,1404.85,935.79,55.28,102.38,46.13,20.1,393.28999999999996
32,1405.12,935.81,55.28,102.38,46.13,20.1,393.28999999999996
33,1404.72,935.78,55.28,102.38,46.13,20.1,398.53999999999996
34,1404.54,935.56,55.28,102.38,46.13,20.1,398.53999999999996
35,1404.63,935.27,55.28,102.38,46.13,20.1,398.53999999999996
36,1404.85,935.87,55.28,102.38,46.13,20.1,387.98
37,1403.35,934.66,55.28,102.38,46.13,20.1,387.98
38,1403.83,935.25,55.28,102.38,46.13,20.1,387.98
39,1404.94,935.49,55.28,102.38,46.13,20.1,386.33000000000004
40,1404.85,935.44,55.28,102.38,46.13,20.1,386.33000000000004
41,1405.91,936.7,55.28,102.38,46.13,20.1,386.33000000000004
42,1404.32,935.28,55.28,102.38,46.13,20.1,398.96000000000004
43,1403.93,935.5,55.28,102.38,46.13,20.1,398.96000000000004
44,1404.85,935.82,55.28,102.38,46.13,20.1,398.96000000000004
45,1404.58,935.48,55.28,102.38,46.13,20.1,396.13
46,1405.52,936.28,55.28,102.38,46.13,20.1,396.13
47,1405.16,935.39,55.28,102.38,46.13,20.1,396.13
48,1404.58,935.63,54.04,102.21,47.94,21.3,394.56
49,1404.1,935.49,54.04,102.21,47.94,21.3,394.56
50,1404.58,935.65,54.04,102.21,47.94,21.3,394.56
51,1406.13,936.3,54.04,102.21,47.94,21.3,393.78999999999996
52,1141.14,889.94,54.04,102.21,47.94,21.3,393.78999999999996
53,1141.99,890.2,54.04,102.21,47.94,21.3,393.78999999999996
54,992.74,864.31,54.04,102.21,47.94,21.3,392.77
55,992.96,864.1,54.04,102.21,47.94,21.3,392.77
56,992.52,864.22,54.04,102.21,47.94,21.3,392.77
57,1290.92,915.76,54.04,102.21,47.94,21.3,397.15999999999997
58,1290.39,915.52,54.04,102.21,47.94,21.3,397.15999999999997
59,1290.87,916.23,54.04,102.21,47.94,21.3,397.15999999999997
60,1291.09,916.08,54.04,102.21,47.94,21.3,398.07
61,1291.63,916.2,54.04,102.21,47.94,21.3,398.07
62,1003.35,866.04,54.04,102.21,47.94,21.3,398.07
63,1003.61,866.44,54.04,102.21,47.94,21.3,410.67
64,1003.53,866.23,54.04,102.21,47.94,21.3,410.67
65,855.96,813.09,54.04,102.21,47.94,21.3,410.67
66,707.96,787.31,54.04,102.21,47.94,21.3,410.09000000000003
67,427.63,739.07,54.04,102.21,47.94,21.3,410.09000000000003
68,427.01,737.05,54.04,102.21,47.94,21.3,410.09000000000003
69,427.28,738.71,54.04,102.21,47.94,21.3,428.42999999999995
70,427.41,738.36,54.04,102.21,47.94,21.3,428.42999999999995
71,427.81,739.34,54.04,102.21,47.94,21.3,428.42999999999995
72,576.92,764.9,56.43,112.74,43.54,20.14,401.03
73,576.34,764.63,56.43,112.74,43.54,20.14,401.03
74,576.48,764.73,56.43,112.74,43.54,20.14,401.03
75,576.7,764.62,56.43,112.74,43.54,20.14,428.15999999999997
76,574.67,764.19,56.43,112.74,43.54,20.14,428.15999999999997
77,575.85,764.51,56.43,112.74,43.54,20.14,428.15999999999997
78,576.7,764.51,56.43,112.74,43.54,20.14,412.9
79,576.34,765.48,56.43,112.74,43.54,20.14,412.9
80,575.73,764.4,56.43,112.74,43.54,20.14,412.9
81,576.21,764.3,56.43,112.74,43.54,20.14,398.65999999999997
82,289.08,689.73,56.43,112.74,43.54,20.14,398.65999999999997
83,288.9,689.86,56.43,112.74,43.54,20.14,398.65999999999997
84,585.8,794.39,56.43,112.74,43.54,20.14,404.58
85,585.36,794.19,56.43,112.74,43.54,20.14,404.58
86,585.32,792.62,56.43,112.74,43.54,20.14,404.58
87,585.41,794.13,56.43,112.74,43.54,20.14,400.40999999999997
88,585.76,794.43,56.43,112.74,43.54,20.14,400.40999999999997
89,585.32,793.88,56.43,112.74,43.54,20.14,400.40999999999997
90,585.14,793.78,56.43,112.74,43.54,20.14,387.35
91,585.85,793.47,56.43,112.74,43.54,20.14,387.35
92,585.76,793.84,56.43,112.74,43.54,20.14,387.35
93,864.71,841.99,56.43,112.74,43.54,20.14,406.16
94,1160.06,893.18,56.43,112.74,43.54,20.14,406.16
95,1159.61,892.92,56.43,112.74,43.54,20.14,406.16
96,1387.97,932.56,54.89,109.21,43.6,21.64,393.04
97,1388.24,932.75,54.89,109.21,43.6,21.64,393.04
98,1390.84,934.51,54.89,109.21,43.6,21.64,393.04
